t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
726.1448,-16.8,-109.5,-315.7,91.58,91.86,1
726.2797,-12.6,-109.5,-313.7,89.45,91.84,1
726.4153,-14.7,-108.5,-315.7,90.77,91.82,1
726.5507,-15.8,-99.7,-312.7,91.63,91.81,1
726.6831,-14.7,-109.5,-310.8,90.97,91.81,1
726.8198,-16.8,-105.6,-315.7,92.01,91.79,1
726.9568,-13.7,-105.6,-312.7,90.31,91.78,1
727.0910,-17.9,-107.5,-307.9,92.52,91.79,1
727.2267,-15.8,-105.6,-309.8,91.32,91.78,1
727.3607,-15.8,-106.5,-314.7,91.16,91.77,1
727.4967,-15.8,-107.5,-313.7,91.15,91.73,1
727.6332,-13.7,-108.5,-314.7,90.28,91.72,1
727.7674,-17.9,-110.4,-313.7,92.37,91.72,1
727.9058,-15.8,-108.5,-315.7,91.01,91.70,1
728.0409,-11.6,-109.5,-316.6,88.89,91.68,1
728.1767,-13.7,-108.5,-316.6,89.90,91.74,1
728.3128,-13.7,-106.5,-311.8,89.99,91.70,1
728.4470,-15.8,-107.5,-306.9,91.14,91.69,1
728.5813,-18.9,-98.7,-314.7,92.67,91.70,1
728.7163,-15.8,-105.6,-314.7,90.85,91.71,1
728.8528,-18.9,-108.5,-315.7,92.28,91.72,1
728.9882,-10.5,-110.4,-317.6,88.10,91.69,1
729.1244,-16.8,-105.6,-315.7,91.47,91.69,1
729.2612,-15.8,-106.5,-311.8,91.00,91.69,1
729.3939,-20.0,-105.6,-312.7,93.09,91.70,1
729.5283,-22.1,-107.5,-318.6,93.96,91.72,1
729.6639,-15.8,-106.5,-313.7,90.93,91.68,1
729.7984,-15.8,-110.4,-316.6,90.78,91.68,1
729.9366,-16.8,-105.6,-313.7,91.38,91.67,1
730.0727,-15.8,-106.5,-311.8,90.72,91.67,1
730.2077,-14.7,-110.4,-312.7,90.24,91.55,1
730.3432,-14.7,-106.5,-310.8,90.25,91.54,1
730.4789,-11.6,-109.5,-311.8,88.64,91.50,1
730.6130,-14.7,-104.6,-313.7,90.17,91.49,1
730.7463,-9.5,-104.6,-313.7,87.37,91.45,1
730.8836,-18.9,-108.5,-311.8,92.27,91.45,1
